,participant.label,player.dg_decision,player.partner_position,player.proportion,player.average_dg_belief,player.vl_pro_belief,player.vl_contra_belief,rpayoff,belief_column_name,belief_value,belief_match,get_belief_payoff,belief_payoff,total_payoff
1404,00020297d6--629797a80bd50b2755097cc5,-10.0,yes,76.0,-50.0,60.0,30.0,110.0,player.vl_pro_belief,60.0,7.100000000000001,True,0.25,1.35
1405,00020297d6--629797bbfc16bb14cdf3bd78,0.0,nr,80.0,0.0,80.0,20.0,100.0,player.proportion,80.0,9.079999999999998,True,0.25,1.25
1406,00020297d6--629797ad4796d7421d164138,-40.0,nr,80.0,-50.0,50.0,50.0,140.0,player.vl_pro_belief,50.0,2.8999999999999986,True,0.25,1.65
1407,00020297d6--629797bca743b42b6ad06bc1,-30.0,yes,70.0,-40.0,70.0,30.0,130.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.55
1408,00020297d6--629797bfc5079d57c580fe06,50.0,nr,50.0,50.0,55.0,50.0,50.0,player.proportion,50.0,20.92,False,0.0,0.5
1409,00020297d6--629797b4df858e094c96e98d,-30.0,no,70.0,-40.0,60.0,60.0,130.0,player.vl_pro_belief,60.0,7.100000000000001,True,0.25,1.55
1410,00020297d6--629797dd8d75da35c17fec30,20.0,no,60.0,20.0,50.0,50.0,80.0,player.vl_contra_belief,50.0,2.0,True,0.25,1.05
1411,00020297d6--629797cbe796a155f013cf64,-20.0,nr,80.0,-50.0,70.0,30.0,120.0,player.proportion,80.0,9.079999999999998,True,0.25,1.45
1412,00020297d6--629797d6a743b42b6ad06cd9,-50.0,nr,80.0,-50.0,60.0,30.0,150.0,player.proportion,80.0,9.079999999999998,True,0.25,1.75
1413,00020297d6--629797ea0bd50b2755097fce,0.0,nr,70.0,0.0,50.0,50.0,100.0,player.vl_pro_belief,50.0,2.8999999999999986,True,0.25,1.25
1414,00020297d6--629797e60808263f550f1ec6,20.0,nr,95.0,20.0,50.0,10.0,80.0,player.vl_contra_belief,10.0,42.0,False,0.0,0.8
1415,00020297d6--629797f5a743b42b6ad06e4a,-20.0,nr,50.0,-50.0,50.0,30.0,120.0,player.vl_contra_belief,30.0,22.0,False,0.0,1.2
1416,00020297d6--629797fc286bd91e83d9d4a2,0.0,yes,90.0,50.0,50.0,10.0,100.0,player.vl_contra_belief,10.0,42.0,False,0.0,1.0
1417,00020297d6--6297980588f65848589c98d2,-50.0,nr,75.0,-50.0,10.0,25.0,150.0,player.proportion,75.0,4.079999999999998,True,0.25,1.75
1418,00020297d6--6297981bb8c3540865ceacfb,-20.0,nr,70.0,-10.0,80.0,20.0,120.0,player.vl_pro_belief,80.0,27.1,False,0.0,1.2
1419,00020297d6--629798079e3b850db62025ef,-30.0,no,47.0,-50.0,58.0,68.0,130.0,player.proportion,47.0,23.92,False,0.0,1.3
1420,00020297d6--629798116789b1401e99bad0,-20.0,yes,60.0,0.0,30.0,30.0,120.0,player.proportion,60.0,10.920000000000002,True,0.25,1.45
1421,00020297d6--6297980db8c3540865ceac40,0.0,yes,70.0,0.0,100.0,100.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
1422,00020297d6--629798424796d7421d164a0e,20.0,yes,70.0,0.0,30.0,10.0,80.0,player.vl_contra_belief,10.0,42.0,False,0.0,0.8
1423,00020297d6--629798390209472a2f191b22,10.0,yes,75.0,-20.0,75.0,50.0,90.0,player.vl_contra_belief,50.0,2.0,True,0.25,1.15
1424,00020297d6--6297984ec5228a2201b50a45,40.0,yes,70.0,20.0,70.0,30.0,60.0,player.average_dg_belief,20.0,20.0,False,0.0,0.6
1425,00020297d6--62979862f97bee03d0163a39,20.0,yes,84.0,10.0,80.0,58.0,80.0,player.vl_contra_belief,58.0,6.0,True,0.25,1.05
1426,00020297d6--629798006789b1401e99b9c5,20.0,nr,50.0,-40.0,60.0,40.0,80.0,player.proportion,50.0,20.92,False,0.0,0.8
1427,00020297d6--6297985d4796d7421d164bea,0.0,yes,50.0,0.0,50.0,50.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
1428,00020297d6--629797e5c5079d57c580ff8f,0.0,yes,70.0,20.0,100.0,30.0,100.0,player.vl_pro_belief,100.0,47.1,False,0.0,1.0
1429,00020297d6--6297986c592d6a2580659e72,0.0,yes,80.0,0.0,90.0,15.0,100.0,player.vl_pro_belief,90.0,37.1,False,0.0,1.0
1430,00020297d6--6297985e286bd91e83d9db28,0.0,yes,83.0,0.0,93.0,6.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
1431,00020297d6--629798744796d7421d164d0c,20.0,yes,50.0,0.0,70.0,30.0,80.0,player.proportion,50.0,20.92,False,0.0,0.8
1432,00020297d6--6297985fa743b42b6ad072f2,-20.0,nr,78.0,0.0,65.0,25.0,120.0,player.proportion,78.0,7.079999999999998,True,0.25,1.45
1433,00020297d6--6297986bce71890706f472d1,20.0,yes,70.0,20.0,70.0,70.0,80.0,player.average_dg_belief,20.0,20.0,False,0.0,0.8
1434,00020297d6--6297986488f65848589c9ebe,-40.0,no,85.0,-50.0,50.0,30.0,140.0,player.average_dg_belief,-50.0,50.0,False,0.0,1.4
1435,00020297d6--62979884b8c3540865ceb3a4,0.0,nr,75.0,0.0,45.0,20.0,100.0,player.vl_contra_belief,20.0,32.0,False,0.0,1.0
1436,00020297d6--6297987a6789b1401e99c05b,20.0,nr,80.0,0.0,90.0,20.0,80.0,player.average_dg_belief,0.0,0.0,True,0.25,1.05
1437,00020297d6--62979880e796a155f013dc77,0.0,no,80.0,-20.0,80.0,20.0,100.0,player.vl_contra_belief,20.0,32.0,False,0.0,1.0
1438,00020297d6--6297985bc5228a2201b50afc,0.0,no,80.0,0.0,90.0,80.0,100.0,player.vl_contra_belief,80.0,28.0,False,0.0,1.0
1440,00020297d6--6297987e8d75da35c17ff548,20.0,yes,65.0,-50.0,85.0,40.0,80.0,player.vl_pro_belief,85.0,32.1,False,0.0,0.8
1441,00020297d6--6297988c31ed680113397e23,20.0,nr,68.0,-40.0,80.0,40.0,80.0,player.proportion,68.0,2.9200000000000017,True,0.25,1.05
1442,00020297d6--629798681b437b49aa7b3a5b,20.0,yes,90.0,10.0,80.0,50.0,80.0,player.vl_contra_belief,50.0,2.0,True,0.25,1.05
1443,00020297d6--629798948753764e91f64dfb,-50.0,nr,70.0,-50.0,90.0,10.0,150.0,player.vl_pro_belief,90.0,37.1,False,0.0,1.5
1444,00020297d6--629798934796d7421d164f3a,0.0,yes,90.0,0.0,100.0,95.0,100.0,player.vl_contra_belief,95.0,43.0,False,0.0,1.0
1445,00020297d6--629798860808263f550f29c3,20.0,yes,70.0,20.0,80.0,60.0,80.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.05
1446,00020297d6--62979895ce71890706f4746b,20.0,nr,30.0,0.0,20.0,50.0,80.0,player.proportion,30.0,40.92,False,0.0,0.8
1447,00020297d6--6297988dc5079d57c581067b,-30.0,nr,40.0,-50.0,60.0,30.0,130.0,player.vl_pro_belief,60.0,7.100000000000001,True,0.25,1.55
1448,00020297d6--62979891ce71890706f4745c,30.0,yes,30.0,-50.0,40.0,10.0,70.0,player.proportion,30.0,40.92,False,0.0,0.7
1449,00020297d6--6297988f8753764e91f64d15,50.0,nr,72.0,50.0,68.0,69.0,50.0,player.average_dg_belief,50.0,50.0,False,0.0,0.5
1450,00020297d6--62979889e796a155f013dd2b,-10.0,nr,74.0,-30.0,54.0,42.0,110.0,player.vl_contra_belief,42.0,10.0,True,0.25,1.35
1451,00020297d6--6297988031ed680113397d9c,-50.0,nr,80.0,-50.0,90.0,10.0,150.0,player.vl_pro_belief,90.0,37.1,False,0.0,1.5
1452,00020297d6--6297988ab8c3540865ceb3ec,-20.0,nr,45.0,-30.0,25.0,65.0,120.0,player.vl_pro_belief,25.0,27.9,False,0.0,1.2
1453,00020297d6--6297988bc4f9241828cae235,20.0,nr,80.0,0.0,70.0,30.0,80.0,player.vl_pro_belief,70.0,17.1,False,0.0,0.8
1454,00020297d6--6297989fa743b42b6ad075b1,0.0,no,65.0,0.0,35.0,10.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
1455,00020297d6--629798921b437b49aa7b3c03,0.0,yes,80.0,0.0,100.0,100.0,100.0,player.proportion,80.0,9.079999999999998,True,0.25,1.25
1456,00020297d6--6297989f8d75da35c17ff787,-20.0,no,60.0,-30.0,75.0,60.0,120.0,player.proportion,60.0,10.920000000000002,True,0.25,1.45
1457,00020297d6--629798a2592d6a258065a10e,-50.0,yes,1.0,-50.0,1.0,1.0,150.0,player.proportion,1.0,69.92,False,0.0,1.5
1459,00020297d6--6297989b0209472a2f191ef9,50.0,no,70.0,0.0,50.0,70.0,50.0,player.proportion,70.0,0.9200000000000017,True,0.25,0.75
1460,00020297d6--629798aeb8c3540865ceb61c,0.0,nr,70.0,0.0,50.0,70.0,100.0,player.vl_contra_belief,70.0,18.0,False,0.0,1.0
1461,00020297d6--629798abc2dd7967c03a01c5,50.0,nr,80.0,10.0,100.0,100.0,50.0,player.proportion,80.0,9.079999999999998,True,0.25,0.75
1462,00020297d6--629798940bd50b27550987a2,0.0,nr,78.0,-50.0,25.0,5.0,100.0,player.vl_pro_belief,25.0,27.9,False,0.0,1.0
1463,00020297d6--629798874796d7421d164e47,0.0,nr,50.0,50.0,50.0,50.0,100.0,player.proportion,50.0,20.92,False,0.0,1.0
1465,00020297d6--629798af55a6576a01d485cf,-50.0,yes,75.0,-20.0,45.0,50.0,150.0,player.vl_contra_belief,50.0,2.0,True,0.25,1.75
1466,00020297d6--629798be318cc4235d18834c,-50.0,nr,70.0,-50.0,70.0,70.0,150.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.75
1467,00020297d6--629798b2631aea48129768ca,20.0,no,45.0,0.0,60.0,80.0,80.0,player.proportion,45.0,25.92,False,0.0,0.8
1469,00020297d6--629798991b437b49aa7b3c7b,-40.0,yes,85.0,-30.0,70.0,60.0,140.0,player.proportion,85.0,14.079999999999998,False,0.0,1.4
1470,00020297d6--629798b50808263f550f2c5f,-20.0,nr,60.0,0.0,30.0,0.0,120.0,player.vl_contra_belief,0.0,52.0,False,0.0,1.2
1471,00020297d6--629798c90db92334086533b8,-50.0,no,95.0,-50.0,15.0,10.0,150.0,player.average_dg_belief,-50.0,50.0,False,0.0,1.5
1472,00020297d6--629798d188f65848589ca389,20.0,nr,90.0,0.0,30.0,0.0,80.0,player.vl_pro_belief,30.0,22.9,False,0.0,0.8
1473,00020297d6--629798c855a6576a01d48744,0.0,nr,89.0,0.0,69.0,43.0,100.0,player.proportion,89.0,18.08,False,0.0,1.0
1474,00020297d6--629798c685c5c060cecacdc1,-40.0,nr,70.0,-40.0,60.0,20.0,140.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.65
1475,00020297d6--629798a80db9233408653188,0.0,nr,50.0,-50.0,50.0,10.0,100.0,player.vl_pro_belief,50.0,2.8999999999999986,True,0.25,1.25
1476,00020297d6--629798dbe7caf416d32b86bb,0.0,nr,50.0,0.0,50.0,50.0,100.0,player.vl_contra_belief,50.0,2.0,True,0.25,1.25
1477,00020297d6--629798cf1b437b49aa7b400c,0.0,nr,85.0,-50.0,40.0,5.0,100.0,player.proportion,85.0,14.079999999999998,False,0.0,1.0
1478,00020297d6--629798dc0f0a604a6d5a687a,-30.0,yes,80.0,-30.0,70.0,30.0,130.0,player.vl_contra_belief,30.0,22.0,False,0.0,1.3
1479,00020297d6--629798d30f0a604a6d5a6809,30.0,nr,45.0,10.0,72.0,50.0,70.0,player.average_dg_belief,10.0,10.0,True,0.25,0.95
1480,00020297d6--629798e1318cc4235d188500,-50.0,nr,70.0,-50.0,50.0,50.0,150.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.75
1482,00020297d6--629798c4095c8b3014b2324a,-50.0,nr,50.0,-50.0,90.0,10.0,150.0,player.proportion,50.0,20.92,False,0.0,1.5
1483,00020297d6--629798ed9e3b850db620308b,-10.0,no,80.0,-50.0,70.0,20.0,110.0,player.proportion,80.0,9.079999999999998,True,0.25,1.35
1484,00020297d6--629798e7ab45cb7cbab74cfb,20.0,yes,90.0,20.0,100.0,100.0,80.0,player.proportion,90.0,19.08,False,0.0,0.8
1485,00020297d6--6297990a0f0a604a6d5a6a6a,50.0,nr,80.0,50.0,85.0,45.0,50.0,player.proportion,80.0,9.079999999999998,True,0.25,0.75
1486,00020297d6--6297990875f2ea5422cfb329,0.0,nr,65.0,0.0,50.0,50.0,100.0,player.vl_contra_belief,50.0,2.0,True,0.25,1.25
1487,00020297d6--629798bf6789b1401e99c2dc,-30.0,yes,40.0,-20.0,50.0,30.0,130.0,player.proportion,40.0,30.92,False,0.0,1.3
1488,00020297d6--629799029e3b850db6203144,0.0,nr,70.0,50.0,50.0,30.0,100.0,player.average_dg_belief,50.0,50.0,False,0.0,1.0
1489,00020297d6--62979915b8c3540865cebe4e,-50.0,nr,80.0,-50.0,80.0,30.0,150.0,player.average_dg_belief,-50.0,50.0,False,0.0,1.5
1490,00020297d6--6297991772b8b44b5c91f28f,0.0,nr,90.0,0.0,50.0,10.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
1492,00020297d6--629798f90f0a604a6d5a69fc,0.0,nr,85.0,0.0,80.0,10.0,100.0,player.proportion,85.0,14.079999999999998,False,0.0,1.0
1493,00020297d6--629798f7ba0e0c481ed334da,20.0,yes,85.0,10.0,90.0,50.0,80.0,player.average_dg_belief,10.0,10.0,True,0.25,1.05
1495,00020297d6--62979921035b7842af571010,0.0,nr,20.0,50.0,50.0,35.0,100.0,player.average_dg_belief,50.0,50.0,False,0.0,1.0
1496,00020297d6--6297992e85c5c060cecad462,0.0,nr,30.0,-40.0,40.0,25.0,100.0,player.vl_contra_belief,25.0,27.0,False,0.0,1.0
1497,00020297d6--6297991bfc16bb14cdf3ce54,-50.0,no,50.0,-50.0,100.0,100.0,150.0,player.proportion,50.0,20.92,False,0.0,1.5
1498,00020297d6--62979911343b1203f379338c,0.0,nr,65.0,20.0,50.0,50.0,100.0,player.vl_pro_belief,50.0,2.8999999999999986,True,0.25,1.25
1499,00020297d6--6297992b1b437b49aa7b44e3,50.0,yes,70.0,0.0,95.0,75.0,50.0,player.average_dg_belief,0.0,0.0,True,0.25,0.75
1500,00020297d6--629798ee6789b1401e99c58d,-30.0,yes,80.0,-30.0,80.0,80.0,130.0,player.average_dg_belief,-30.0,30.0,False,0.0,1.3
1501,00020297d6--6297991efc16bb14cdf3ce7d,20.0,nr,75.0,20.0,66.0,40.0,80.0,player.average_dg_belief,20.0,20.0,False,0.0,0.8
1502,00020297d6--62979958286bd91e83d9e927,-40.0,nr,55.0,50.0,50.0,10.0,140.0,player.vl_pro_belief,50.0,2.8999999999999986,True,0.25,1.65
1503,00020297d6--6297996156b7cb048e259b80,-40.0,no,43.0,-50.0,95.0,100.0,140.0,player.vl_pro_belief,95.0,42.1,False,0.0,1.4
1504,00020297d6--62979956ab45cb7cbab751c2,50.0,yes,70.0,20.0,80.0,90.0,50.0,player.average_dg_belief,20.0,20.0,False,0.0,0.5
1505,00020297d6--629799519c973a4d0b806209,-50.0,nr,85.0,-40.0,90.0,25.0,150.0,player.vl_pro_belief,90.0,37.1,False,0.0,1.5
1506,00020297d6--6297993dc4f9241828caeabf,-50.0,no,90.0,-50.0,80.0,40.0,150.0,player.proportion,90.0,19.08,False,0.0,1.5
1507,00020297d6--62979974e796a155f013ecd0,50.0,no,50.0,50.0,50.0,50.0,50.0,player.vl_contra_belief,50.0,2.0,True,0.25,0.75
1508,00020297d6--6297996f75f2ea5422cfb7af,20.0,no,70.0,20.0,60.0,65.0,80.0,player.vl_pro_belief,60.0,7.100000000000001,True,0.25,1.05
1509,00020297d6--62979987e796a155f013edcc,0.0,nr,50.0,10.0,0.0,0.0,100.0,player.vl_pro_belief,0.0,52.9,False,0.0,1.0
1510,00020297d6--629798efce71890706f478e7,-50.0,yes,20.0,-20.0,70.0,20.0,150.0,player.vl_pro_belief,70.0,17.1,False,0.0,1.5
1511,00020297d6--6297997cdf858e094c97002a,0.0,nr,90.0,-30.0,70.0,90.0,100.0,player.proportion,90.0,19.08,False,0.0,1.0
1512,00020297d6--6297998b1cd4a2502e02f5dd,0.0,nr,60.0,0.0,50.0,30.0,100.0,player.proportion,60.0,10.920000000000002,True,0.25,1.25
1513,00020297d6--629798fc592d6a258065a756,0.0,no,65.0,50.0,95.0,70.0,100.0,player.proportion,65.0,5.920000000000002,True,0.25,1.25
1515,00020297d6--629799ab631aea4812977495,20.0,no,90.0,30.0,85.0,9.0,80.0,player.average_dg_belief,30.0,30.0,False,0.0,0.8
1516,00020297d6--62979996df858e094c97018d,0.0,nr,15.0,0.0,50.0,50.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
1517,00020297d6--62979898343b1203f3792b2c,20.0,yes,75.0,30.0,75.0,50.0,80.0,player.vl_pro_belief,75.0,22.1,False,0.0,0.8
1518,00020297d6--629799d585c5c060cecadf7b,20.0,nr,70.0,0.0,30.0,10.0,80.0,player.vl_contra_belief,10.0,42.0,False,0.0,0.8
1519,00020297d6--62979827286bd91e83d9d6f6,-20.0,yes,80.0,-20.0,90.0,90.0,120.0,player.vl_pro_belief,90.0,37.1,False,0.0,1.2
1520,00020297d6--629799e2e7caf416d32b9248,0.0,no,79.0,0.0,100.0,100.0,100.0,player.vl_pro_belief,100.0,47.1,False,0.0,1.0
1521,00020297d6--629799e875f2ea5422cfbd4a,0.0,yes,75.0,0.0,60.0,85.0,100.0,player.vl_pro_belief,60.0,7.100000000000001,True,0.25,1.25
1522,00020297d6--62979a090f0a604a6d5a76d8,20.0,yes,90.0,20.0,100.0,100.0,80.0,player.vl_contra_belief,100.0,48.0,False,0.0,0.8
1523,00020297d6--629799dd8d75da35c1800f3b,-20.0,nr,40.0,0.0,30.0,55.0,120.0,player.proportion,40.0,30.92,False,0.0,1.2
1524,00020297d6--62979a1afc16bb14cdf3da8a,30.0,yes,90.0,-50.0,100.0,100.0,70.0,player.proportion,90.0,19.08,False,0.0,0.7
1525,00020297d6--62979a23e14f7b062a220354,-50.0,nr,30.0,-50.0,50.0,50.0,150.0,player.vl_pro_belief,50.0,2.8999999999999986,True,0.25,1.75
1526,00020297d6--62979a20e7caf416d32b942c,0.0,nr,80.0,0.0,100.0,80.0,100.0,player.vl_contra_belief,80.0,28.0,False,0.0,1.0
1527,00020297d6--62979a2c0808263f550f504b,0.0,no,20.0,-40.0,80.0,50.0,100.0,player.vl_pro_belief,80.0,27.1,False,0.0,1.0
1528,00020297d6--62979a1c1b437b49aa7b5826,-50.0,no,80.0,-50.0,10.0,10.0,150.0,player.vl_contra_belief,10.0,42.0,False,0.0,1.5
1529,00020297d6--62979a17ce71890706f48549,0.0,nr,72.0,20.0,22.0,5.0,100.0,player.vl_pro_belief,22.0,30.9,False,0.0,1.0
1530,00020297d6--62979a51c5228a2201b5237d,0.0,no,80.0,0.0,60.0,20.0,100.0,player.vl_contra_belief,20.0,32.0,False,0.0,1.0
1532,00020297d6--62979a2531ed680113399461,0.0,yes,80.0,0.0,50.0,30.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
1533,00020297d6--62979a5d27b7222acc7f42b6,0.0,no,85.0,0.0,95.0,30.0,100.0,player.vl_contra_belief,30.0,22.0,False,0.0,1.0
1534,00020297d6--62979a63e7caf416d32b975f,0.0,nr,65.0,-10.0,80.0,25.0,100.0,player.proportion,65.0,5.920000000000002,True,0.25,1.25
1535,00020297d6--629798d48717592fea51cbbc,0.0,yes,90.0,0.0,50.0,50.0,100.0,player.vl_contra_belief,50.0,2.0,True,0.25,1.25
1536,00020297d6--62979a659c973a4d0b806e28,0.0,nr,85.0,-50.0,80.0,20.0,100.0,player.vl_pro_belief,80.0,27.1,False,0.0,1.0
1537,00020297d6--62979a8c85c5c060cecaece6,-10.0,yes,74.0,-50.0,40.0,10.0,110.0,player.vl_contra_belief,10.0,42.0,False,0.0,1.1
1538,00020297d6--62979a86ce71890706f48a39,-50.0,no,50.0,-50.0,89.0,13.0,150.0,player.average_dg_belief,-50.0,50.0,False,0.0,1.5
1539,00020297d6--62979a980209472a2f193c2c,-10.0,no,70.0,0.0,55.0,100.0,110.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.35
1540,00020297d6--62979a544796d7421d16717b,20.0,no,50.0,0.0,90.0,90.0,80.0,player.average_dg_belief,0.0,0.0,True,0.25,1.05
1541,00020297d6--62979aa5e796a155f0140151,0.0,nr,70.0,0.0,70.0,30.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
1542,00020297d6--62979ab2592d6a258065c75c,-50.0,no,60.0,-50.0,40.0,20.0,150.0,player.vl_contra_belief,20.0,32.0,False,0.0,1.5
1543,00020297d6--62979ad6318cc4235d189c77,-50.0,nr,75.0,-50.0,75.0,60.0,150.0,player.vl_contra_belief,60.0,8.0,True,0.25,1.75
1544,00020297d6--62979aa3f97bee03d016532c,0.0,nr,70.0,0.0,50.0,50.0,100.0,player.vl_pro_belief,50.0,2.8999999999999986,True,0.25,1.25
